Name,Spin Radius,Longitude,z
DSS 13,0.025,0.036,0.031
DSS  14,0.024,0.035,0.030
DSS 15,0.023,0.035,0.030
DSS 24,0.029,0.036,0.033
DSS 25,0.030,0.036,0.033
DSS 26,0.030,0.038,0.034
DSS34,0.030,0.030,0.030
DSS 35,0.030,0.030,0.030
DSS 36,0.030,0.030,0.030
DSS 43,0.026,0.035,0.032
DSS 45,0.024,0.035,0.031
DSS 53,1.0,1.0,1.0
DSS 54,0.032,0.036,0.034
DSS 55,0.05,0.037,0.048
DSS 56,0.03,0.03,0.03
DSS 63,0.027,0.034,0.031
DSS 65,0.026,0.034,0.03
